layer,mode,speed_mps,pitch,volume
brake/tone_00,brake,0.000000000,1,0
brake/tone_00,brake,0.125000000,1,0.289026321446
brake/tone_00,brake,0.135360000,1,0.311787429554
brake/tone_00,brake,0.250000000,1,0.540457497791
brake/tone_00,brake,0.270720000,1,0.576108049319
brake/tone_00,brake,0.375000000,1,0.721588578458
brake/tone_00,brake,0.406080000,1,0.752721441008
brake/tone_00,brake,0.500000000,1,0.80885890909
brake/tone_00,brake,0.541440000,1,0.807268446502
brake/tone_00,brake,0.625000000,1,0.769038199981
brake/tone_00,brake,0.676797500,1,0.723272344392
brake/tone_00,brake,0.750000000,1,0.633019775904
brake/tone_00,brake,0.812155000,1,0.533011727311
brake/tone_00,brake,0.875000000,1,0.41842929108
brake/tone_00,brake,0.947512500,1,0.275234722312
brake/tone_00,brake,1.000000000,1,0.168064364731
brake/tone_00,brake,1.082870000,1,0
brake/tone_01,brake,0.541440000,1,0
brake/tone_01,brake,0.625000000,1,0.190173627598
brake/tone_01,brake,0.676797500,1,0.299589214336
brake/tone_01,brake,0.750000000,1,0.437803979303
brake/tone_01,brake,0.812155000,1,0.533011727311
brake/tone_01,brake,0.875000000,1,0.607602252031
brake/tone_01,brake,0.947512500,1,0.664475399442
brake/tone_01,brake,1.000000000,1,0.685516923381
brake/tone_01,brake,1.082870000,1,0.706738613622
brake/tone_01,brake,1.125000000,1,0.705409866898
brake/tone_01,brake,1.250000000,1,0.680440255165
brake/tone_01,brake,1.314915000,1,0.649751161662
brake/tone_01,brake,1.375000000,1,0.614749093844
brake/tone_01,brake,1.500000000,1,0.523687431379
brake/tone_01,brake,1.546960000,1,0.484282044273
brake/tone_01,brake,1.625000000,1,0.412989530402
brake/tone_01,brake,1.750000000,1,0.28678026092
brake/tone_01,brake,1.779005000,1,0.256930101837
brake/tone_01,brake,1.875000000,1,0.153707652617
brake/tone_01,brake,2.000000000,1,0.0126463588229
brake/tone_01,brake,2.011050000,1,0
brake/tone_02,brake,1.082870000,1,0
brake/tone_02,brake,1.125000000,1,0.0503799159245
brake/tone_02,brake,1.250000000,1,0.197758097574
brake/tone_02,brake,1.314915000,1,0.269135743328
brake/tone_02,brake,1.375000000,1,0.331369306991
brake/tone_02,brake,1.500000000,1,0.446427451861
brake/tone_02,brake,1.546960000,1,0.484282044273
brake/tone_02,brake,1.625000000,1,0.539524883891
brake/tone_02,brake,1.750000000,1,0.606347576702
brake/tone_02,brake,1.779005000,1,0.620284136437
brake/tone_02,brake,1.875000000,1,0.655750555164
brake/tone_02,brake,2.000000000,1,0.676184050181
brake/tone_02,brake,2.011050000,1,0.6765283806
brake/tone_02,brake,2.125000000,1,0.666276096086
brake/tone_02,brake,2.243095000,1,0.62941693805
brake/tone_02,brake,2.250000000,1,0.626457323375
brake/tone_02,brake,2.375000000,1,0.551960076527
brake/tone_02,brake,2.475140000,1,0.475221121799
brake/tone_02,brake,2.500000000,1,0.454114285775
brake/tone_02,brake,2.625000000,1,0.338968299676
brake/tone_02,brake,2.707185000,1,0.255175424492
brake/tone_02,brake,2.750000000,1,0.209632689154
brake/tone_02,brake,2.875000000,1,0.0729501764547
brake/tone_02,brake,2.939230000,1,0
brake/tone_03,brake,2.011050000,1,0
brake/tone_03,brake,2.125000000,1,0.130102897857
brake/tone_03,brake,2.243095000,1,0.260713032127
brake/tone_03,brake,2.250000000,1,0.268105769765
brake/tone_03,brake,2.375000000,1,0.390665339443
brake/tone_03,brake,2.475140000,1,0.475221121799
brake/tone_03,brake,2.500000000,1,0.494027665128
brake/tone_03,brake,2.625000000,1,0.576167010526
brake/tone_03,brake,2.707185000,1,0.616047970593
brake/tone_03,brake,2.750000000,1,0.632075851644
brake/tone_03,brake,2.875000000,1,0.668475596271
brake/tone_03,brake,2.939230000,1,0.675790473826
brake/tone_03,brake,3.000000000,1,0.675368880162
brake/tone_03,brake,3.125000000,1,0.645159886697
brake/tone_03,brake,3.171272500,1,0.626584783626
brake/tone_03,brake,3.250000000,1,0.586257414945
brake/tone_03,brake,3.375000000,1,0.497636670067
brake/tone_03,brake,3.403315000,1,0.474523079086
brake/tone_03,brake,3.500000000,1,0.388392404052
brake/tone_03,brake,3.625000000,1,0.268582606762
brake/tone_03,brake,3.635357500,1,0.257927673806
brake/tone_03,brake,3.750000000,1,0.134236596177
brake/tone_03,brake,3.867400000,1,0
brake/tone_04,brake,2.939230000,1,0
brake/tone_04,brake,3.000000000,1,0.0697039840294
brake/tone_04,brake,3.125000000,1,0.209789333727
brake/tone_04,brake,3.171272500,1,0.259539915354
brake/tone_04,brake,3.250000000,1,0.340303914669
brake/tone_04,brake,3.375000000,1,0.452091650005
brake/tone_04,brake,3.403315000,1,0.474523079086
brake/tone_04,brake,3.500000000,1,0.542002182979
brake/tone_04,brake,3.625000000,1,0.617570515687
brake/tone_04,brake,3.635357500,1,0.622692488213
brake/tone_04,brake,3.750000000,1,0.66671877027
brake/tone_04,brake,3.867400000,1,0.693171238974
brake/tone_04,brake,3.875000000,1,0.693960139727
brake/tone_04,brake,4.000000000,1,0.690186797086
brake/tone_04,brake,4.099445000,1,0.658672489969
brake/tone_04,brake,4.125000000,1,0.647426811973
brake/tone_04,brake,4.250000000,1,0.574686627994
brake/tone_04,brake,4.331490000,1,0.511536968081
brake/tone_04,brake,4.375000000,1,0.473531013615
brake/tone_04,brake,4.500000000,1,0.349847565908
brake/tone_04,brake,4.563535000,1,0.281346184676
brake/tone_04,brake,4.625000000,1,0.210887794897
brake/tone_04,brake,4.750000000,1,0.0579584980062
brake/tone_04,brake,4.795580000,1,0
brake/tone_05,brake,3.867400000,1,0
brake/tone_05,brake,3.875000000,1,0.00892605868111
brake/tone_05,brake,4.000000000,1,0.157534143633
brake/tone_05,brake,4.099445000,1,0.272831078507
brake/tone_05,brake,4.125000000,1,0.301596299772
brake/tone_05,brake,4.250000000,1,0.43460697648
brake/tone_05,brake,4.331490000,1,0.511536968081
brake/tone_05,brake,4.375000000,1,0.548956977474
brake/tone_05,brake,4.500000000,1,0.640054037387
brake/tone_05,brake,4.563535000,1,0.679229774767
brake/tone_05,brake,4.625000000,1,0.710119347586
brake/tone_05,brake,4.750000000,1,0.749881376665
brake/tone_05,brake,4.795580000,1,0.755347783065
brake/tone_05,brake,4.875000000,1,0.75411258422
brake/tone_05,brake,5.000000000,1,0.724224283041
brake/tone_05,brake,5.027625000,1,0.709734211668
brake/tone_05,brake,5.125000000,1,0.647038359471
brake/tone_05,brake,5.250000000,1,0.542636523718
brake/tone_05,brake,5.259670000,1,0.533748027292
brake/tone_05,brake,5.375000000,1,0.41801441148
brake/tone_05,brake,5.491715000,1,0.285979236754
brake/tone_05,brake,5.500000000,1,0.276171664432
brake/tone_05,brake,5.625000000,1,0.126171705981
brake/tone_05,brake,5.723760000,1,0
brake/tone_06,brake,4.795580000,1,0
brake/tone_06,brake,4.875000000,1,0.101971775374
brake/tone_06,brake,5.000000000,1,0.261041969523
brake/tone_06,brake,5.027625000,1,0.293981536153
brake/tone_06,brake,5.125000000,1,0.403402154267
brake/tone_06,brake,5.250000000,1,0.525160539692
brake/tone_06,brake,5.259670000,1,0.533748027292
brake/tone_06,brake,5.375000000,1,0.624018395078
brake/tone_06,brake,5.491715000,1,0.690414951928
brake/tone_06,brake,5.500000000,1,0.694106746574
brake/tone_06,brake,5.625000000,1,0.747864218192
brake/tone_06,brake,5.723760000,1,0.767441173617
brake/tone_06,brake,5.750000000,1,0.76907572988
brake/tone_06,brake,5.875000000,1,0.743094218454
brake/tone_06,brake,5.955802500,1,0.70862244504
brake/tone_06,brake,6.000000000,1,0.68416474188
brake/tone_06,brake,6.125000000,1,0.583866618346
brake/tone_06,brake,6.187845000,1,0.524821315446
brake/tone_06,brake,6.250000000,1,0.461782682727
brake/tone_06,brake,6.375000000,1,0.329041308039
brake/tone_06,brake,6.419887500,1,0.277979179474
brake/tone_06,brake,6.500000000,1,0.183782859049
brake/tone_06,brake,6.625000000,1,0.0329192650986
brake/tone_06,brake,6.651930000,1,0
brake/tone_07,brake,5.723760000,1,0
brake/tone_07,brake,5.750000000,1,0.0341751868815
brake/tone_07,brake,5.875000000,1,0.194461829475
brake/tone_07,brake,5.955802500,1,0.293521027338
brake/tone_07,brake,6.000000000,1,0.34538083793
brake/tone_07,brake,6.125000000,1,0.471225881691
brake/tone_07,brake,6.187845000,1,0.524821315446
brake/tone_07,brake,6.250000000,1,0.570801034112
brake/tone_07,brake,6.375000000,1,0.649910203192
brake/tone_07,brake,6.419887500,1,0.671101105144
brake/tone_07,brake,6.500000000,1,0.698953327776
brake/tone_07,brake,6.625000000,1,0.721806171864
brake/tone_07,brake,6.651930000,1,0.722523052425
brake/tone_07,brake,6.750000000,1,0.712474849941
brake/tone_07,brake,6.875000000,1,0.60231689385
brake/tone_07,brake,6.883975000,1,0.593680675715
brake/tone_07,brake,7.000000000,1,0.476831245365
brake/tone_07,brake,7.116020000,1,0.372339996235
brake/tone_07,brake,7.125000000,1,0.364110413217
brake/tone_07,brake,7.250000000,1,0.250391266988
brake/tone_07,brake,7.348065000,1,0.176568091218
brake/tone_07,brake,7.375000000,1,0.155932906871
brake/tone_07,brake,7.500000000,1,0.0600583559755
brake/tone_07,brake,7.580110000,1,0
brake/tone_08,brake,6.651930000,1,0
brake/tone_08,brake,6.750000000,1,0.119345708323
brake/tone_08,brake,6.875000000,1,0.238835954871
brake/tone_08,brake,6.883975000,1,0.2459105876
brake/tone_08,brake,7.000000000,1,0.31861137015
brake/tone_08,brake,7.116020000,1,0.372339996235
brake/tone_08,brake,7.125000000,1,0.37534900215
brake/tone_08,brake,7.250000000,1,0.400573343654
brake/tone_08,brake,7.348065000,1,0.426273080502
brake/tone_08,brake,7.375000000,1,0.431035456065
brake/tone_08,brake,7.500000000,1,0.440277780809
brake/tone_08,brake,7.580110000,1,0.450346512001
brake/tone_08,brake,7.625000000,1,0.452395175661
brake/tone_08,brake,7.750000000,1,0.444045207798
brake/tone_08,brake,7.812155000,1,0.432520665147
brake/tone_08,brake,7.875000000,1,0.41559030726
brake/tone_08,brake,8.000000000,1,0.366543652693
brake/tone_08,brake,8.044200000,1,0.343873373324
brake/tone_08,brake,8.125000000,1,0.296798961705
brake/tone_08,brake,8.250000000,1,0.211241842005
brake/tone_08,brake,8.276245000,1,0.191666968455
brake/tone_08,brake,8.375000000,1,0.113575732006
brake/tone_08,brake,8.500000000,1,0.00724724611896
brake/tone_08,brake,8.508290000,1,0
brake/tone_09,brake,7.580110000,1,0
brake/tone_09,brake,7.625000000,1,0.0344343469602
brake/tone_09,brake,7.750000000,1,0.13130633605
brake/tone_09,brake,7.812155000,1,0.179155925511
brake/tone_09,brake,7.875000000,1,0.226527909629
brake/tone_09,brake,8.000000000,1,0.315435290812
brake/tone_09,brake,8.044200000,1,0.343873373324
brake/tone_09,brake,8.125000000,1,0.391510141834
brake/tone_09,brake,8.250000000,1,0.452085970476
brake/tone_09,brake,8.276245000,1,0.462724994702
brake/tone_09,brake,8.375000000,1,0.494932017547
brake/tone_09,brake,8.500000000,1,0.516538044504
brake/tone_09,brake,8.508290000,1,0.517082768019
brake/tone_09,brake,8.625000000,1,0.513847166038
brake/tone_09,brake,8.740332500,1,0.490494048667
brake/tone_09,brake,8.750000000,1,0.48763295603
brake/tone_09,brake,8.875000000,1,0.477173408912
brake/tone_09,brake,8.972375000,1,0.445085195962
brake/tone_09,brake,9.000000000,1,0.431991751631
brake/tone_09,brake,9.125000000,1,0.387249499526
brake/tone_09,brake,9.204417500,1,0.325776235927
brake/tone_09,brake,9.250000000,1,0.278706408673
